head_nod,head_pan,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2,torso_t0
0.0,-0.06865,-1.52363,0.00499,-0.7877,-0.02033,-2.79185,-0.16797,-0.30411,1.40436,1.39132,0.6435,-1.07417,-3.04649,0.06558,-0.08782,-12.56599
0.0,-0.06826,-1.65171,1.50215,-0.9434,0.12157,-2.62694,-0.14419,-0.44639,1.40589,1.38979,0.64235,-1.07264,-3.04572,0.0698,-0.08667,-12.56599
0.0,-0.06826,-1.74529,0.04564,-0.74897,0.94915,-2.88772,-0.21744,-0.24966,0.20364,-0.04142,0.8621,0.96334,-3.02923,-0.04218,-0.62088,-12.56599
0.0,-0.06903,-1.74337,0.0464,-0.7482,0.9457,-2.88657,-0.21322,-0.25081,0.91847,-0.051,0.53076,1.00552,-3.03268,-0.31638,-0.38733,-12.56599
0.0,-0.06865,-1.58537,1.59457,0.71944,1.04848,-3.04994,-0.10815,-0.48781,1.44693,1.82812,-0.9434,1.04771,-3.01504,0.02416,0.22358,-12.56599
0.0,-0.06865,-1.58575,1.59381,0.71982,1.04694,-3.0507,-0.10853,-0.48704,1.58038,1.56734,-0.73746,0.00268,-3.04534,0.09664,-0.33863,-12.56599
0.0,-0.06903,-1.58499,1.59726,0.71867,1.04733,-3.04994,-0.10891,-0.48742,1.47531,1.60761,-0.83564,1.06151,-2.80757,0.1139,-0.02876,-12.56599
0.0,-0.06826,-1.58537,1.59457,0.71944,1.04694,-3.0507,-0.10853,-0.48781,3.05531,1.31539,0.56604,0.15838,-3.03997,-0.14266,-0.05407,-12.56599
0.0,-0.06865,-1.58537,1.59419,0.71829,1.04733,-3.0507,-0.10815,-0.48742,1.51366,1.48719,-0.92499,0.89278,-3.04649,-0.29874,-0.41954,-12.56599
0.0,-0.06903,-1.58614,1.59496,0.71867,1.04694,-3.05032,-0.10891,-0.48742,1.88488,2.56213,-0.66843,1.05768,-3.0461,0.01687,-0.06059,-12.56599
0.0,-0.06941,-1.58614,1.59572,0.71829,1.04694,-3.04994,-0.10853,-0.48627,2.39876,2.16905,-1.25173,0.91694,-3.03306,0.05906,0.03528,-12.56599
0.0,-0.06903,-1.58614,1.59496,0.71829,1.04771,-3.05147,-0.10815,-0.48781,2.89692,1.70042,-0.49394,0.36049,-3.04534,-0.18791,-0.13614,-12.56599
0.0,-0.06826,-1.58575,1.59457,0.71982,1.04694,-3.0507,-0.10891,-0.48781,2.90919,1.40666,-0.48819,-0.19712,-3.04534,0.11888,-0.10086,-12.56599
0.0,-0.06788,-1.38212,0.14304,0.81301,1.04272,-3.04994,-0.09357,-0.40766,0.1998,0.0418,-0.36509,1.05116,-3.04073,-0.33441,-0.28609,-12.56599
0.0,-0.06788,-2.47009,-0.04755,-0.13576,0.36931,-2.76538,-0.15723,-0.69221,0.20018,0.04218,-0.36547,1.05116,-3.03997,-0.33479,-0.28685,-12.56599
0.0,-0.06903,-2.46702,-0.04985,-0.13576,0.37314,-2.76308,-0.15723,-0.69067,2.92377,0.53459,0.05216,0.47247,-3.04342,0.04947,0.02761,-12.56599
0.0,-0.06865,-3.04495,-0.04985,-0.35282,0.03835,-3.05109,-0.00499,-0.08053,2.8532,-0.0441,0.07938,-0.22204,-2.90728,0.27228,-0.26538,-12.56599
0.0,-0.06826,-3.04188,-0.04832,-0.35205,0.04027,-3.0507,-0.00614,-0.08053,2.35121,1.44463,-0.84791,0.85404,-2.80297,-0.31677,-0.22281,-12.56599
0.0,-0.06826,-3.04188,-0.05024,-0.35205,0.03912,-3.05032,-0.00537,-0.08015,2.40413,1.97423,1.04848,0.79575,-3.04572,-0.22588,-0.02454,-12.56599
0.0,-0.06903,-2.99701,1.59496,-0.21591,0.43718,-3.05032,-0.22511,-0.1998,2.40451,1.97423,1.04848,0.79192,-3.04572,-0.22511,-0.02454,-12.56599
0.0,-0.06903,-3.0484,1.7821,-0.69067,0.64926,-3.04955,-0.5043,-0.14573,2.7535,2.02332,0.80381,0.86977,-3.03958,-0.37583,-0.03643,-12.56599
0.0,-0.06826,-3.0484,1.77903,-0.69029,0.64811,-3.05032,-0.50276,-0.14534,2.66107,0.31638,0.91042,0.03336,-3.0461,-0.21092,-0.15033,-12.56599
0.0,-0.06941,-3.0484,1.78095,-0.68837,0.64887,-3.05032,-0.50391,-0.14458,2.78686,2.13492,0.71023,0.65539,-3.0461,-0.07632,-0.11351,-12.56599
0.0,-0.06903,-3.03,-0.00575,-0.7505,-0.21207,-3.04994,-0.2857,-0.17717,2.78801,2.13377,0.711,0.64581,-3.04572,-0.07593,-0.11313,-12.56599
0.0,-0.06865,-3.04188,1.76063,-1.18423,0.51503,-3.04764,-0.40535,-0.00882,3.04572,2.26799,0.29567,0.64504,-2.91495,0.03873,0.01074,-12.56599
0.0,-0.06865,-3.03421,1.7844,-0.77466,0.49049,-3.05032,-0.48934,-0.02493,3.04227,1.98535,1.05615,0.56297,-3.04572,-0.1672,0.01649,-12.56599
0.0,-0.06903,-3.03383,1.7844,-0.77389,0.49241,-3.04994,-0.48934,-0.02301,1.37905,0.11888,0.869,-0.22358,-3.04649,-0.25886,-0.76085,-12.56599
0.0,-0.06865,-3.0346,1.78555,-0.77351,0.49087,-3.05032,-0.48972,-0.02339,0.80266,0.02071,1.01204,-0.423,-3.04188,0.03682,-0.19597,-12.56599
0.0,-0.06865,-3.03421,1.78479,-0.77428,0.49202,-3.05032,-0.48934,-0.02301,2.1376,0.78617,0.32444,0.95145,-3.04572,-0.97638,-0.01802,-12.56599
0.0,-0.06941,-3.03421,1.78555,-0.77428,0.49241,-3.04994,-0.48934,-0.02339,2.40298,0.90083,0.59557,0.6807,-3.03805,-0.64964,0.00652,-12.56599
0.0,-0.06903,-3.03421,1.78479,-0.77466,0.49087,-3.05032,-0.48934,-0.02339,2.7209,1.13515,0.80189,0.36317,-3.03651,-0.43987,0.051,-12.56599
0.0,-0.06865,-3.0346,1.78479,-0.77389,0.49164,-3.0507,-0.48896,-0.02301,2.89807,0.75625,1.00783,-0.00997,-3.04534,-0.62165,-0.03375,-12.56599
0.0,-0.06865,-3.0346,1.7844,-0.77428,0.49164,-3.04994,-0.49011,-0.02339,2.9951,0.68109,1.03352,-0.29913,-3.04495,-0.41954,-0.11313,-12.56599
0.0,-0.06903,-3.0346,1.78479,-0.77466,0.49126,-3.05032,-0.48972,-0.02378,3.05569,0.33594,0.92307,-0.81224,-3.04534,-0.29184,-0.13844,-12.56599
0.0,-0.06941,-3.03421,1.7844,-0.77389,0.49126,-3.05109,-0.48934,-0.02263,2.78609,1.62142,0.79805,0.36125,-3.04572,-0.30219,-0.08859,-12.56599
0.0,-0.06865,-2.39569,0.69681,-0.5856,0.05522,-3.05032,-0.0395,0.04333,2.78724,1.62257,0.79844,0.35358,-3.04534,-0.29683,-0.08744,-12.56599
0.0,-0.06865,-1.81048,1.16161,-0.54533,0.02263,-2.95023,-0.08092,0.10048,2.78724,1.62065,0.79844,0.3532,-3.0461,-0.30104,-0.08705,-12.56599
0.0,-0.06903,-1.2989,1.13476,-0.63929,0.21169,-3.04073,0.01304,0.06826,2.78763,1.6218,0.79882,0.3532,-3.0461,-0.29951,-0.08744,-12.56599
0.0,-0.06865,-1.58384,-0.02569,-0.70678,0.12502,-3.05032,-0.07632,-0.07133,2.78686,1.6218,0.79805,0.3532,-3.0461,-0.29798,-0.08744,-12.56599
0.0,-0.0698,-1.83272,1.04886,0.26461,0.3206,-2.97439,-0.52155,-3.05837,0.94455,0.75203,-0.64197,0.47323,-0.53498,0.26039,3.03767,-12.56599
0.0,-0.06941,-1.83311,1.04924,0.26538,0.32099,-2.97362,-0.52117,-3.05914,1.16007,1.07225,-0.52462,0.23547,-0.49931,0.18024,3.03651,-12.56599
0.0,-0.06941,-1.83234,1.04848,0.265,0.32022,-2.97439,-0.52194,-3.05914,1.49832,1.36064,-0.54418,0.0905,-0.24889,-0.21284,3.03153,-12.56599
0.0,-0.06903,-1.83272,1.04848,0.265,0.3206,-2.97439,-0.52117,-3.05914,1.8473,0.67802,-0.70678,-0.26768,0.30986,0.48972,3.0369,-12.56599
0.0,-0.06903,-1.83771,1.17158,-0.36931,0.15148,-2.96787,-0.05944,-3.05991,1.84845,0.67764,-0.70678,-0.26921,0.31447,0.49126,3.03651,-12.56599
